ray_label,distance_px,x_px,y_px,normal_score
0.15%,353.9,115.22,529.39,27
0.15%,392.01,127.63,493.35,24
0.15%,471.71,153.57,417.99,27
0.15%,560.07,182.34,334.44,26
0.15%,679.62,221.26,221.41,29
0.15%,817.35,266.1,91.18,30
0.30%,357.19,145.28,537.69,30
0.30%,392.36,159.59,505.56,26
0.30%,477.13,194.07,428.12,37
0.30%,565.52,230.02,347.38,37
0.30%,687.27,279.54,236.15,37
0.30%,827.95,336.76,107.63,37
0.50%,344.72,192.27,577.88,28
0.50%,418.29,233.3,516.82,30
0.50%,498.91,278.26,449.9,29
0.50%,585.57,326.6,377.97,36
0.50%,712.54,397.42,272.58,31
0.50%,855.64,477.23,153.81,31
1.00%,370.64,257.47,597.38,27
1.00%,427.96,297.29,556.15,23
1.00%,521.2,362.06,489.08,37
1.00%,557.13,387.02,463.23,18
1.00%,605.04,420.29,428.77,36
1.00%,744.47,517.15,328.47,37
2.00%,378.65,302.41,636.12,27
2.00%,422.12,337.12,609.96,22
2.00%,478.64,382.26,575.95,20
2.00%,517.04,412.92,552.84,28
2.00%,601.8,480.62,501.83,28
2.00%,737.29,588.83,420.29,28
