curve_label,ray_label,distance_px,x_px,y_px,normal_score,member_to_prism_ratio
1.5,2.00%,517.04,412.92,552.84,28,0.3286
1.5,1.00%,557.13,387.02,463.23,18,0.4516
1.5,0.15%,560.07,182.34,334.44,26,1.2666
1.5,0.30%,565.52,230.02,347.38,37,0.9795
1.5,0.50%,585.57,326.6,377.97,36,0.649
3.0,0.15%,471.71,153.57,417.99,27,1.2666
3.0,0.30%,477.13,194.07,428.12,37,0.9795
3.0,2.00%,478.64,382.26,575.95,20,0.3286
3.0,0.50%,498.91,278.26,449.9,29,0.649
3.0,1.00%,521.2,362.06,489.08,37,0.4516
4.5,0.15%,392.01,127.63,493.35,24,1.2665
4.5,0.30%,392.36,159.59,505.56,26,0.9795
4.5,0.50%,418.29,233.3,516.82,30,0.649
4.5,2.00%,422.12,337.12,609.96,22,0.3286
4.5,1.00%,427.96,297.29,556.15,23,0.4516
6.0,0.50%,344.72,192.27,577.88,28,0.649
6.0,0.15%,353.9,115.22,529.39,27,1.2665
6.0,0.30%,357.19,145.28,537.69,30,0.9795
6.0,1.00%,370.64,257.47,597.38,27,0.4516
6.0,2.00%,378.65,302.41,636.12,27,0.3286
